P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
0.0,0.0,0.0,0.0,0.0,hot,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499.08,1498.39,1498.39,7.67,0.0,production,4,68.52,60.97,-890.44,16.44,-2.3,32.0,1.78,2.3,0.3,3.57,63.86,60.29,1498.39
1697.51,1696.82,1612.2,7.68,112.2,production,4,68.61,61.05,-892.01,16.45,-2.3,32.0,1.78,2.3,0.3,3.57,63.88,60.31,1584.62
410.07,409.4,324.67,1.68,0.0,production,4,15.01,13.36,-58.95,5.02,-0.7,31.0,1.8,4.9,0.17,3.61,62.12,58.51,409.4
185.82,185.19,167.09,0.76,0.0,production,4,6.79,6.04,-12.96,2.15,-0.3,39.0,1.58,7.72,0.16,3.17,51.18,48.01,185.19
73.69,73.18,64.98,0.0,64.98,hot standby,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.88,241.24,241.24,0.0,228.49,booting,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
894.62,893.94,893.94,4.74,0.0,production,4,42.34,37.68,-374.59,11.59,-1.62,29.0,1.84,2.9,0.21,3.69,65.74,62.05,893.94
410.07,409.4,358.03,1.87,0.0,production,4,16.71,14.87,-71.48,5.52,-0.77,30.0,1.81,4.62,0.18,3.64,63.02,59.38,409.4
1499.08,1498.39,1478.24,7.58,0.0,production,4,67.72,60.26,-870.86,16.3,-2.28,32.0,1.78,2.32,0.3,3.57,63.96,60.39,1498.39
1588.75,1588.06,1504.48,7.68,4.48,production,4,68.61,61.05,-892.01,16.45,-2.3,32.0,1.78,2.3,0.3,3.57,63.88,60.31,1583.58
1097.97,1097.28,1012.55,5.34,0.0,production,4,47.71,42.45,-463.21,12.66,-1.77,30.0,1.83,2.75,0.22,3.67,65.51,61.84,1097.28
241.88,241.24,183.23,0.86,0.0,production,4,7.68,6.84,-16.56,2.5,-0.35,37.0,1.63,7.09,0.16,3.27,53.69,50.42,241.24
1499.08,1498.39,1489.12,7.63,0.0,production,4,68.16,60.65,-881.42,16.38,-2.29,32.0,1.78,2.31,0.3,3.57,63.92,60.35,1498.39
1097.97,1097.28,1013.13,5.34,0.0,production,4,47.71,42.45,-463.66,12.66,-1.77,30.0,1.83,2.75,0.22,3.67,65.47,61.8,1097.28
678.27,677.59,619.58,3.31,0.0,production,4,29.57,26.31,-197.55,8.82,-1.24,29.0,1.85,3.45,0.19,3.72,65.73,62.01,677.59
185.82,185.19,149.47,0.0,149.47,hot standby,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299.63,1298.94,1298.94,0.0,1286.19,booting,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588.75,1588.06,1588.06,7.68,88.06,production,4,68.61,61.05,-892.01,16.45,-2.3,32.0,1.78,2.3,0.3,3.57,63.88,60.31,1500.0
73.69,73.18,0.0,0.0,0.0,hot standby,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
